dataHora,ordem,linha,latitude,longitude,velocidade
04-27-2015 16:08:49,A09,001,"-22.939495","-43.183121",19.63
04-27-2015 16:14:31,B42631,,"-22.8781","-43.3292",21
04-27-2015 16:19:52,A48012,415,"-22.974876","-43.19331",1.11
04-27-2015 16:19:59,A41033,123,"-22.891653","-43.216331",3.7
04-27-2015 16:20:03,A48065,401,"-22.924765","-43.20969",15.19
04-27-2015 16:20:42,B75508,928,"-22.872","-43.3362",28
04-27-2015 16:21:26,A41003,170,"-22.976765","-43.227619",11.67
04-27-2015 16:22:45,A41226,538,"-22.95713","-43.17746",1
04-27-2015 16:22:47,C20036,600,"-22.955549","-43.353458",25
04-27-2015 16:23:27,A48014,415,"-22.923998","-43.232292",0
04-27-2015 16:23:33,A27594,157,"-22.92028","-43.256409",0
04-27-2015 16:27:39,A41248,126,"-22.904408","-43.191994",1.48
04-27-2015 16:28:54,C41035,,"-22.852619","-43.23373",33
04-27-2015 16:36:06,A41839,2014,"-22.870398","-43.249924",0.19
04-27-2015 16:36:32,A48066,202,"-22.9238","-43.212372",0
04-27-2015 16:36:49,A55058,,"-22.91543","-43.250778",0
04-27-2015 16:40:25,D86027,,"-22.894669","-43.531567",0
04-27-2015 16:41:47,A27501,157,"-22.920561","-43.2565",0
04-27-2015 16:41:55,A37513,183,"-22.920719","-43.193771",49
04-27-2015 16:42:50,D58713,,"-22.876244","-43.420349",0
04-27-2015 16:43:24,A41201,110,"-22.912405","-43.199203",0.19
04-27-2015 16:44:23,A48008,415,"-22.906679","-43.194397",29.26
04-27-2015 16:44:42,A41159,110,"-22.919409","-43.20982",5.19
04-27-2015 16:45:22,A37682,,"-22.90115","-43.196251",0
04-27-2015 16:45:33,A27532,,"-22.920309","-43.256458",0
04-27-2015 16:46:42,A63538,107,"-22.87184","-43.249161",14
04-27-2015 16:50:30,A48017,426,"-22.92997","-43.186359",55.93
04-27-2015 16:50:41,A41833,2014,"-22.903372","-43.178177",0
04-27-2015 16:51:47,C20011,600,"-22.91526","-43.386341",0
04-27-2015 16:52:10,A29141,474,"-22.894291","-43.263168",0
04-27-2015 16:53:03,A71525,409,"-22.910303","-43.20573",58.71
04-27-2015 16:55:03,A29001,474,"-22.898899","-43.223179",8
04-27-2015 16:57:17,B31007,483,"-22.8371","-43.2839",0
04-27-2015 16:57:41,A41233,172,"-22.875103","-43.240955",2.78
04-27-2015 16:58:14,A41195,172,"-22.874823","-43.240913",22.59
04-27-2015 16:58:23,A71534,409,"-22.913897","-43.178001",15.93
04-27-2015 16:58:51,A16,,"-22.842064","-43.253906",0.74
04-27-2015 16:58:52,A41012,460,"-22.792536","-43.308189",0
04-27-2015 16:59:44,A41019,190,"-22.897274","-43.181614",0.37
04-27-2015 17:00:02,A41351,132,"-22.900551","-43.176777",3.7
04-27-2015 17:00:40,A29018,210,"-22.902201","-43.199749",33
04-27-2015 17:01:18,A27512,438,"-22.920719","-43.256279",0
04-27-2015 17:01:45,A27635,433,"-22.916691","-43.25132",0
04-27-2015 17:01:55,C41345,318,"-23.009199","-43.286819",70
04-27-2015 17:03:11,D58674,365,"-22.8561","-43.492664",0.19
04-27-2015 17:04:57,C20215,611,"-22.93676","-43.37075",0
04-27-2015 17:06:15,B32625,944,"-22.8115","-43.3528",22
04-27-2015 17:07:22,C20198,859,"-22.918751","-43.358608",0
04-27-2015 17:09:04,D53605,,"-22.88345","-43.49506",0
04-27-2015 17:09:41,D58805,383,"-22.896261","-43.289959",32.6
04-27-2015 17:10:07,D53587,,"-22.883631","-43.49464",0
04-27-2015 17:10:17,A27582,432,"-22.91507","-43.208401",0
04-27-2015 17:10:29,A41326,128,"-22.910276","-43.172073",0
